filename,freq,acc_amplitude_fft_m/s/s,pos_amplitude_fft_m,Folder,MinMax_amp_Volts,datetime,rewNum,accFile,beeID,hive,IT,accFileAndFolder,dateFrozenOrMarked,treatment,MinMax_amp_acc_m/s/s
2016_10_12__10_44_08_724_220_450_test.txt,310.0,0.8454055595448279,2.22834266261433e-07,Bee10_12Oct2016_Hive3_S_W,0.39296,2016_10_12__10_44_08_724,1,2016_10_12__10_44_08_724_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,38.63913470993117
2016_10_12__10_44_09_472_220_450_test.txt,380.0,5.5852222202790776,9.79746063476735e-07,Bee10_12Oct2016_Hive3_S_W,0.67203,2016_10_12__10_44_09_472,2,2016_10_12__10_44_09_472_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,66.07964601769912
2016_10_12__10_44_10_228_220_450_test.txt,340.0,9.654510166555992,2.115498264624647e-06,Bee10_12Oct2016_Hive3_S_W,1.04877,2016_10_12__10_44_10_228,3,2016_10_12__10_44_10_228_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,103.12389380530972
2016_10_12__10_44_10_800_220_450_test.txt,340.0,8.536824296878233,1.8705907056798663e-06,Bee10_12Oct2016_Hive3_S_W,1.22822,2016_10_12__10_44_10_800,4,2016_10_12__10_44_10_800_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,120.76892822025566
2016_10_12__10_44_12_011_220_450_test.txt,310.0,0.971833598118542,2.561585079728478e-07,Bee10_12Oct2016_Hive3_S_W,0.3670000000000001,2016_10_12__10_44_12_011,5,2016_10_12__10_44_12_011_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,36.086529006883
2016_10_12__10_44_26_173_220_450_test.txt,410.0,2.1451050520974517,3.2323703586506905e-07,Bee10_12Oct2016_Hive3_S_W,0.5974,2016_10_12__10_44_26_173,6,2016_10_12__10_44_26_173_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,58.74139626352017
2016_10_12__10_44_27_395_220_450_test.txt,400.0,4.204580725408126,6.656454622157978e-07,Bee10_12Oct2016_Hive3_S_W,0.49906999999999996,2016_10_12__10_44_27_395,7,2016_10_12__10_44_27_395_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,49.07276302851524
2016_10_12__10_44_53_059_220_450_test.txt,410.0,3.0262744130042383,4.560168137300869e-07,Bee10_12Oct2016_Hive3_S_W,0.53899,2016_10_12__10_44_53_059,8,2016_10_12__10_44_53_059_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,52.998033431661746
2016_10_12__10_45_16_592_220_450_test.txt,410.0,2.445675329892944,3.685287317513653e-07,Bee10_12Oct2016_Hive3_S_W,0.51335,2016_10_12__10_45_16_592,9,2016_10_12__10_45_16_592_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,50.47689282202557
2016_10_12__10_45_24_363_220_450_test.txt,320.0,0.8171381707844262,2.021323404863594e-07,Bee10_12Oct2016_Hive3_S_W,0.30632,2016_10_12__10_45_24_363,10,2016_10_12__10_45_24_363_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,30.119960668633233
2016_10_12__10_45_38_624_220_450_test.txt,290.0,0.83104578048052,2.503048220548653e-07,Bee10_12Oct2016_Hive3_S_W,0.26705999999999996,2016_10_12__10_45_38_624,11,2016_10_12__10_45_38_624_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,26.259587020648972
2016_10_12__10_45_59_358_220_450_test.txt,240.0,1.0389000015146652,4.568688274283525e-07,Bee10_12Oct2016_Hive3_S_W,0.38161,2016_10_12__10_45_59_358,12,2016_10_12__10_45_59_358_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,37.52310717797444
2016_10_12__10_46_26_095_220_450_test.txt,400.0,2.3872073088228283,3.7792917207745106e-07,Bee10_12Oct2016_Hive3_S_W,0.31540999999999997,2016_10_12__10_46_26_095,13,2016_10_12__10_46_26_095_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,31.013765978367747
2016_10_12__10_46_26_605_220_450_test.txt,400.0,3.6604299626310355,5.794985882088354e-07,Bee10_12Oct2016_Hive3_S_W,0.72752,2016_10_12__10_46_26_605,14,2016_10_12__10_46_26_605_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,71.53588987217306
2016_10_12__10_46_42_347_220_450_test.txt,410.0,7.260258046460541,1.0940183504107514e-06,Bee10_12Oct2016_Hive3_S_W,0.94915,2016_10_12__10_46_42_347,15,2016_10_12__10_46_42_347_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,93.32841691248771
2016_10_12__10_46_57_744_220_450_test.txt,350.0,1.396266881412504,2.8871716960267475e-07,Bee10_12Oct2016_Hive3_S_W,0.2557,2016_10_12__10_46_57_744,16,2016_10_12__10_46_57_744_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,25.142576204523106
2016_10_12__10_47_11_458_220_450_test.txt,250.0,1.041353796169759,4.2204479687344695e-07,Bee10_12Oct2016_Hive3_S_W,0.07723,2016_10_12__10_47_11_458,17,2016_10_12__10_47_11_458_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,7.593903638151425
2016_10_12__10_47_19_699_220_450_test.txt,310.0,1.05636506915599,2.7843953997217716e-07,Bee10_12Oct2016_Hive3_S_W,0.38647,2016_10_12__10_47_19_699,18,2016_10_12__10_47_19_699_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,38.000983284169116
2016_10_12__10_47_25_916_220_450_test.txt,240.0,0.9007272006003694,3.961056688527728e-07,Bee10_12Oct2016_Hive3_S_W,0.27581999999999995,2016_10_12__10_47_25_916,19,2016_10_12__10_47_25_916_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,27.120943952802357
2016_10_12__10_47_32_873_220_450_test.txt,310.0,1.5994487260712278,4.21586987775146e-07,Bee10_12Oct2016_Hive3_S_W,0.5166,2016_10_12__10_47_32_873,20,2016_10_12__10_47_32_873_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,50.79646017699114
2016_10_12__10_47_44_456_220_450_test.txt,290.0,1.041158990551111,3.1358936171967943e-07,Bee10_12Oct2016_Hive3_S_W,0.21903000000000009,2016_10_12__10_47_44_456,21,2016_10_12__10_47_44_456_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,21.536873156342192
2016_10_12__10_47_59_416_220_450_test.txt,230.0,0.8899214750480573,4.261242778856537e-07,Bee10_12Oct2016_Hive3_S_W,0.24175,2016_10_12__10_47_59_416,22,2016_10_12__10_47_59_416_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,23.770894788593907
2016_10_12__10_48_14_548_220_450_test.txt,330.0,1.931717866740085,4.4932034141679794e-07,Bee10_12Oct2016_Hive3_S_W,0.61459,2016_10_12__10_48_14_548,23,2016_10_12__10_48_14_548_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,60.431661750245816
2016_10_12__10_48_24_862_220_450_test.txt,250.0,0.8867864338504774,3.594010044627922e-07,Bee10_12Oct2016_Hive3_S_W,0.08534,2016_10_12__10_48_24_862,24,2016_10_12__10_48_24_862_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,8.391347099311702
2016_10_12__10_48_29_426_220_450_test.txt,350.0,1.92019536317122,3.970540143286463e-07,Bee10_12Oct2016_Hive3_S_W,0.84239,2016_10_12__10_48_29_426,25,2016_10_12__10_48_29_426_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,sham,82.83087512291053
2016_10_12__10_50_13_160_220_450_test.txt,430.0,3.4656432731668483,4.747743084361424e-07,Bee10_12Oct2016_Hive3_S_W,0.36180999999999996,2016_10_12__10_50_13_160,26,2016_10_12__10_50_13_160_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,35.57620452310718
