freq,amp,datetime,visitNum,treatment_rewarded,BeeNumCol,accFile,beeID,hive,treatment,totalRewards,meanFreqRewarded,totalBuzzesNotRewarded,meanFreqUnrewarded,IT_mm,amp_acc
370.0,0.7985800000000001, 2017_05_30__09_52_48_207,1, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_48_207_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,78.52310717797444
340.0,0.6866300000000001, 2017_05_30__09_52_50_473,2, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_50_473_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,67.51524090462145
330.0,0.34915999999999997, 2017_05_30__09_52_52_817,3, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_52_817_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,34.332350049164205
320.0,0.66814, 2017_05_30__09_52_56_614,4, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_56_614_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,65.69714847590954
310.0,0.90015, 2017_05_30__09_52_58_795,5, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_58_795_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,88.5103244837758
320.0,1.10685, 2017_05_30__09_52_59_487,6, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_52_59_487_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,108.834808259587
350.0,0.6451, 2017_05_30__09_53_02_581,7, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_02_581_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,63.43166175024582
240.0,0.4848, 2017_05_30__09_53_04_133,8, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_04_133_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,47.66961651917404
250.0,0.36798000000000003, 2017_05_30__09_53_04_658,9, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_04_658_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,36.18289085545723
340.0,0.33553, 2017_05_30__09_53_05_205,10, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_05_205_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,32.992133726647
230.0,0.09638, 2017_05_30__09_53_10_005,11, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_10_005_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,9.476892822025565
330.0,0.6671600000000001, 2017_05_30__09_53_10_530,12, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_10_530_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,65.60078662733531
310.0,0.7908, 2017_05_30__09_53_11_229,13, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_11_229_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,77.75811209439527
320.0,0.63666, 2017_05_30__09_53_11_863,14, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_11_863_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,62.60176991150442
300.0,0.43872, 2017_05_30__09_53_12_652,15, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_12_652_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,43.13864306784661
320.0,0.57306, 2017_05_30__09_53_13_122,16, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_13_122_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,56.34808259587021
300.0,0.3352, 2017_05_30__09_53_14_381,17, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_14_381_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,32.95968534906588
230.0,0.40562, 2017_05_30__09_53_15_398,18, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_15_398_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,39.88397246804327
330.0,0.79177, 2017_05_30__09_53_16_177,19, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_16_177_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,77.8534906588004
340.0,0.71421, 2017_05_30__09_53_19_514,20, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_19_514_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,70.22713864306785
290.0,0.39232, 2017_05_30__09_53_33_378,21, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_33_378_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,38.57620452310718
300.0,0.58052, 2017_05_30__09_53_33_848,22, F,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_53_33_848_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,57.081612586037366
